Name,Gender,SSN,Member Date,Phone,State,Zip,Email,Credit Card,Credit Card_Number,Credit Card Exp,Gender,Favorite Radio Station,Purchases Past 30 Days,Spent Past 30 Days,Purchases Past 6 Months,Spent Past 6 Months,Purchases Past 12 Months,Spent Past 12 Months
Jacob Peters,male,722-64-6462,8/26/2012,9537413863,GA,72855,j.peterseters@miuja.com,Mastercard,5199xxxxxxxx1561,11/21,male,WBUS,4,$2805.05,5,$4560.3099999999995,13,$9409.31
Luis Russell,male,416-08-5670,Sun Sep 24 2006 07:30:28 GMT-0400 (Eastern Daylight Time),8425195320,Massachusetts,78563-2051,l.Russell@kuvo.edu,Diners Club United States & Canada,5435xxxxxxxx4094,09/17,male,WGEV,0,$0,1,$509.79,2,$1334.15
Dr. Carolyn Barker,female,259-05-6910,4/30/2013,(326) 692-9564,M.A.,32248-6441,c.Barker@toti.org,Mastercard,5183xxxxxxxx0024,05/19,female,WAFI,1,$638.32,2,$2037.5300000000002,12,$7545.47
Marie Sparks,female,511-23-6924,Sat Sep 20 2008 00:47:00 GMT-0400 (Eastern Daylight Time),4707116615,MS,18065-8738,m.sparksparks@ce.com,Visa,4412xxxxxxxx5731,04/17,female,WQNQ,2,$682.81,7,$3011.63,17,$12999.56
Nancy Hart,female,731-11-4180,Mon Sep 05 2011 11:58:14 GMT-0400 (Eastern Daylight Time),(903) 599-7828,U.T.,16738-2950,n.hartart@feb.nz,Discover Card,6011xxxxxxxx3337,03/22,female,KPHW,4,$1445.5700000000002,8,$5720.78,18,$15498.509999999998
Jack Swanson,male,614-87-3549,Wed Oct 18 2006 12:47:40 GMT-0400 (Eastern Daylight Time),(517) 787-4674,D.E.,81880-3913,j.swansonwanson@bu.nz,Mastercard,5103xxxxxxxx2942,02/20,male,WBSR,2,$1608.1599999999999,6,$4241.94,9,$9641.039999999999
Mister Elijah Stevens,male,438-34-7128,Sun May 14 2006 05:12:30 GMT-0400 (Eastern Daylight Time),(225) 798-9429,Ohio,41581-0502,e.stevenstevens@zowbut.net,Diners Club United States & Canada,5416xxxxxxxx3375,05/27,male,WWSZ,2,$1142.48,4,$2899.66,12,$8661.609999999999
Doctor Lottie Nguyen,female,725-31-3353,4/11/2011,4407113964,Kansas,29981,l.nguyenguyen@rebelew.net,Diners Club United States & Canada,5485xxxxxxxx4954,06/17,female,KMIL,2,$1147.14,3,$3090.85,13,$10652.759999999998
Mrs. Rosa Collins,female,011-47-8107,11/6/2006,(507) 855-9822,L.A.,16113-1683,r.Collins@kaedogap.com,Visa,4285xxxxxxxx1395,03/19,female,WVVB,4,$1690.92,7,$5312.18,12,$10107.710000000001
Mr. Kyle Bowen,male,622-21-7120,27/10/2005,(656) 535-1391,TN,32437,k.bowenowen@bu.org,Visa,4804xxxxxxxx8834,08/27,male,WTLL,2,$539.84,7,$3919.7400000000002,11,$9847.09
Mrs. Flora Guerrero,female,873-79-2696,Fri May 23 2008 22:14:37 GMT-0400 (Eastern Daylight Time),(922) 882-3212,New Hampshire,33915,f.Guerrero@lisziv.nz,Diners Club United States & Canada,5448xxxxxxxx2493,08/21,female,WIZR,4,$1752.35,6,$3333.9299999999994,12,$9010.289999999997
Charlie May,male,451-93-0795,Mon Oct 03 2011 13:50:39 GMT-0400 (Eastern Daylight Time),9747291430,M.N.,00590,c.mayay@di.gov,Discover Card,6011xxxxxxxx6637,04/22,male,WFIV,4,$2034.6399999999999,6,$4823.37,10,$11136.110000000002
Mr. Eric Floyd,male,879-50-9344,18/9/2007,(580) 906-6943,WI,85787-7849,e.Floyd@pi.net,Discover Card,6011xxxxxxxx0479,11/19,male,WDRK,4,$1719.71,6,$5077.78,7,$7800.4800000000005
Tyler Ryan,male,635-71-1805,2/23/2015,(864) 233-5608,OR,61901-4937,t.Ryan@pivku.edu,Visa,4072xxxxxxxx2970,11/26,male,KYVM,2,$551.3,3,$1349.22,9,$5151.42
Nettie Blake,female,925-60-2821,12/4/2010,3595584571,Iowa,72742-6969,n.Blake@refcok.gov,Diners Club United States & Canada,5449xxxxxxxx5669,03/26,female,KEZD,5,$2197.35,7,$4595.41,13,$10986.61
Delia Stewart,female,516-92-9155,Sun Jul 05 2009 23:08:27 GMT-0400 (Eastern Daylight Time),(810) 793-1840,Michigan,79734-2883,d.stewarttewart@tidbojaw.net,Visa,4143xxxxxxxx8147,02/25,female,WEGG,5,$3531.63,10,$8564.72,13,$13662.059999999998
Mary Barnett,female,551-80-0549,4/20/2009,(949) 434-1977,N.J.,74132,m.Barnett@akinaneg.org,Discover Card,6011xxxxxxxx5952,05/22,female,WQAQ,0,$0,1,$725.23,8,$4794.580000000001
Daniel Schultz,male,991-67-9562,Mon Jul 20 2015 01:30:41 GMT-0400 (Eastern Daylight Time),(782) 306-3569,South Carolina,59328-8734,d.schultzchultz@vir.org,Visa,4343xxxxxxxx2366,11/19,male,WWZS,0,$0,1,$874.3,11,$5944.610000000001
Chase Malone,male,387-45-5059,6/11/2010,(849) 210-7107,Texas,43493-9936,c.Malone@uh.org,Diners Club United States & Canada,5465xxxxxxxx9685,01/25,male,KPHS,3,$1393.3600000000001,6,$5424.04,15,$14855.47
Dr. Landon Duncan,male,128-58-3947,29/4/2010,6424487427,Iowa,29027-2575,l.Duncan@lirdedvor.edu,Mastercard,5137xxxxxxxx1940,09/25,male,KNMU,3,$1377.59,8,$4790.07,9,$11732.81
Ricky Palmer,male,593-10-1910,5/3/2016,(605) 620-8674,PA,53250-3163,r.palmeralmer@hiplu.org,Diners Club United States & Canada,5437xxxxxxxx0218,03/20,male,WACN,3,$1664.82,6,$5538.88,15,$13009.92
Mattie Fletcher,female,414-82-9030,8/21/2015,2052525387,MT,62660,m.fletcherletcher@uba.net,Visa,4502xxxxxxxx4602,10/26,female,KZNP,5,$3186.31,6,$6567.430000000001,9,$11908.730000000001
Misses Nell Lynch,female,096-46-5203,Sun Dec 13 2009 01:21:51 GMT-0500 (Eastern Standard Time),5262327097,Rhode Island,64089,n.lynchynch@iga.com,Visa,4463xxxxxxxx8979,03/19,female,WKGV,0,$0,5,$2210.01,9,$7534.629999999999
Miss Myrtle Poole,female,498-89-5846,8/8/2013,(902) 774-7019,Pennsylvania,56663-8709,m.pooleoole@jipef.info,Diners Club United States & Canada,5450xxxxxxxx0711,09/19,female,WMWL,5,$3137.4799999999996,6,$5436.62,14,$12107.47
Rodney McDaniel,male,013-77-2890,Sun Oct 16 2005 13:36:05 GMT-0400 (Eastern Daylight Time),(672) 240-6005,HI,54589,r.mcdanielcDaniel@in.edu,American Express,3400xxxxxxx5719,09/25,male,KFRS,1,$143.18,3,$691.03,8,$3512.39
Miss Abbie Chandler,female,677-79-7720,Sun Jan 25 2009 06:31:13 GMT-0500 (Eastern Standard Time),(982) 671-6589,M.D.,01595-7668,a.chandlerhandler@kemdi.co,Mastercard,5138xxxxxxxx2200,10/20,female,WFHT,1,$718.71,3,$1900.8900000000003,7,$5315.6900000000005
Fred Hughes,male,999-89-9017,24/10/2016,8338995082,South Carolina,31487-6660,f.Hughes@fapatke.net,Mastercard,5153xxxxxxxx8188,04/25,male,WQIH,2,$111.44,6,$2378.17,15,$12497.820000000002
Mamie Parker,female,714-07-1096,1/8/2009,6805482716,Illinois,41824,m.Parker@di.au,Discover Card,6011xxxxxxxx0042,03/19,female,WHOB,5,$2279.36,6,$6188.14,11,$11700.94
Dr. Maria Russell,female,299-12-5829,Mon Feb 14 2011 21:33:02 GMT-0500 (Eastern Standard Time),7254063546,TX,06287,m.Russell@bukjir.com,Discover Card,6011xxxxxxxx3815,07/19,female,KGFR,1,$942.07,6,$4453.11,15,$9326.3
Doctor Katharine Soto,female,628-06-1525,8/18/2016,8615327013,IN,32335-3609,k.sotooto@bez.co,Diners Club United States & Canada,5452xxxxxxxx7843,06/19,female,WIWD,1,$258.59,6,$4035.37,8,$8687.210000000001
Adele Crawford,female,545-51-3033,21/11/2005,6273655487,Wisconsin,65644-1400,a.crawfordrawford@siwife.de,Discover Card,6011xxxxxxxx7169,05/26,female,WVZI,4,$1552.63,8,$5016.42,14,$12421.220000000003
Tommy Butler,male,079-51-0746,Thu Mar 03 2011 04:45:52 GMT-0500 (Eastern Standard Time),6293889802,TX,72184-1725,t.butlerutler@men.com,Mastercard,5129xxxxxxxx8529,08/25,male,KDCM,0,$0,4,$2470.42,12,$9283.640000000001
Dr. Scott Fuller,male,146-06-0019,Fri May 20 2005 16:02:34 GMT-0400 (Eastern Daylight Time),2169913474,H.I.,90736-3692,s.fulleruller@rasevdi.com,Discover Card,6011xxxxxxxx7966,03/20,male,KVLI,2,$634.19,5,$3033.2000000000007,15,$9952.65
Esther Jennings,female,682-84-5656,1/6/2016,6107462237,AL,03854,e.Jennings@mugnikzos.edu,Discover Card,6011xxxxxxxx3785,10/17,female,WLIX,4,$1850.8,8,$4685.969999999999,10,$9776.339999999998
Timothy McBride,male,513-94-0246,3/10/2010,5219778222,Nevada,25178-0984,t.McBride@miwbi.edu,American Express,3423xxxxxxx0344,03/17,male,KAPR,1,$861.27,3,$2549.15,4,$3786
Mister Bill Reeves,male,218-26-6616,12/1/2009,(313) 314-3608,Alaska,54730-4361,b.reeveseeves@perza.gov,Discover Card,6011xxxxxxxx8479,03/23,male,KDKM,3,$1474.3400000000001,8,$6952.849999999999,14,$12733.160000000002
Mr. Jim Lowe,male,293-08-6821,Tue Nov 25 2014 14:21:31 GMT-0500 (Eastern Standard Time),(437) 725-4540,Hawaii,31715,j.loweowe@ihisot.org,Discover Card,6011xxxxxxxx8556,11/25,male,KUPE,0,$0,5,$3044.4100000000003,7,$6773.37
Mr. Ralph Harrington,male,405-34-9086,Sat Jun 07 2014 03:47:22 GMT-0400 (Eastern Daylight Time),6213993536,Idaho,60446,r.harringtonarrington@bu.edu,American Express,3453xxxxxxx2889,08/19,male,KTUH,4,$2297.0299999999997,7,$6404.28,16,$15301.500000000002
Alan Carroll,male,071-03-9656,2/2/2012,(730) 577-8571,New Mexico,24503,a.carrollarroll@inukefuf.org,Diners Club United States & Canada,5420xxxxxxxx7388,01/22,male,KXFC,3,$1396.44,5,$4588.2699999999995,6,$7231.95
Dr. Steven Nunez,male,723-09-0245,Fri Mar 10 2006 21:36:46 GMT-0500 (Eastern Standard Time),7234833594,Colorado,87740,s.nunezunez@buse.de,Visa,4992xxxxxxxx9326,06/26,male,KBWH,2,$1158.16,5,$3580.1800000000003,14,$11058.56
Ophelia Hernandez,female,114-63-1940,7/3/2017,3155124332,Vermont,67004-4396,o.Hernandez@efujo.nz,American Express,3402xxxxxxx7530,02/27,female,WIRM,0,$0,4,$2620.25,6,$5159.499999999999
Maude Ferguson,female,611-07-5372,9/2/2014,(879) 764-4911,W.A.,55539,m.Ferguson@lagup.de,American Express,3453xxxxxxx1546,03/17,female,KYHE,1,$702.46,4,$2584.04,7,$5011.48
Vernon Neal,male,110-48-6189,Fri Jun 27 2014 06:38:24 GMT-0400 (Eastern Daylight Time),4708903563,TN,74727-8534,v.Neal@dici.nz,American Express,3481xxxxxxx9247,09/23,male,WBHI,5,$2224.04,8,$7083.999999999999,13,$12643.799999999997
Inez Bennett,female,703-33-2957,24/9/2004,5344953370,North Dakota,59471,i.bennettennett@ospev.ca,Mastercard,5185xxxxxxxx8796,11/25,female,KWGV,3,$1322.93,4,$3938.46,8,$7076.369999999999
Miss Georgie Rhodes,female,277-58-7722,5/2/2016,(825) 300-8672,Iowa,88251-9202,g.rhodeshodes@joskenta.org,Visa,4528xxxxxxxx1310,05/24,female,KENT,2,$1673.83,3,$3783.7200000000003,11,$10189.2
Doctor Sylvia Parks,female,190-14-3632,Mon Jul 17 2017 23:21:28 GMT-0400 (Eastern Daylight Time),(743) 746-8555,Wisconsin,83676-0822,s.parksarks@lo.com,American Express,3405xxxxxxx2114,01/21,female,WOFM,0,$0,1,$641.71,9,$3717.95
Leila Duncan,female,017-51-8762,Fri May 03 2013 01:57:59 GMT-0400 (Eastern Daylight Time),7885276068,OH,64080-2841,l.duncanuncan@vij.gov,Visa,4182xxxxxxxx2660,07/23,female,WONY,3,$880.79,6,$4929.13,15,$12857.810000000001
Doctor Leroy Hogan,male,861-56-3613,5/9/2007,7398936397,New Hampshire,13504-2320,l.hoganogan@ibijif.gov,Discover Card,6011xxxxxxxx9355,09/18,male,WBEE,1,$784.42,5,$5110.08,8,$9177.579999999998
Susie Willis,female,422-23-9708,Thu Dec 23 2004 09:27:26 GMT-0500 (Eastern Standard Time),4842521084,CT,41643-5821,s.willisillis@bat.info,Visa,4113xxxxxxxx4149,08/23,female,WRRH,5,$3048.89,10,$7086.410000000001,12,$14363.66
Miss Minerva Terry,female,006-69-4992,11/3/2010,3562339398,Vermont,48594-9976,m.Terry@joowa.com,Diners Club United States & Canada,5458xxxxxxxx3641,06/19,female,WQLV,4,$1630.16,7,$6447.510000000001,13,$14062.220000000001
Doctor Keith Carlson,male,835-06-6730,Wed Oct 19 2016 10:21:03 GMT-0400 (Eastern Daylight Time),(633) 846-5017,Wisconsin,11237,k.carlsonarlson@kamic.au,Mastercard,5137xxxxxxxx1857,11/20,male,WEZY,4,$1473.46,6,$3208.37,16,$10507.81
Brian Wagner,male,200-09-3158,5/1/2006,(518) 404-9716,North Carolina,92551-3122,b.wagneragner@jahdikbi.edu,American Express,3457xxxxxxx1037,03/25,male,WDWF,4,$1983.8200000000002,5,$4008.42,7,$8393.36
Dr. Leo Wood,male,465-68-5016,Tue Feb 11 2014 17:19:21 GMT-0500 (Eastern Standard Time),5885298891,Pennsylvania,65094,l.woodood@posrucso.co,Mastercard,5173xxxxxxxx5597,01/19,male,WPAK,4,$2090.92,5,$3374.1000000000004,7,$7717.800000000001
Miss Isabelle Peterson,female,921-96-8194,Mon Jun 13 2011 18:44:34 GMT-0400 (Eastern Daylight Time),(845) 335-7596,TX,94657,i.petersoneterson@sadu.com,Discover Card,6011xxxxxxxx9304,01/23,female,KHGD,3,$922.9699999999999,7,$4342.6900000000005,10,$9060.58
Lee Cummings,male,304-04-0723,Fri Nov 10 2006 12:49:17 GMT-0500 (Eastern Standard Time),(851) 520-8806,Maine,06058,l.cummingsummings@etgenhu.com,Mastercard,5187xxxxxxxx5799,06/19,male,WPIK,3,$2315.39,8,$7161.87,15,$13788.529999999999
Etta Olson,female,377-07-6311,12/12/2004,3794692293,Texas,92392-0710,e.olsonlson@olabefvi.edu,Visa,4350xxxxxxxx2716,08/21,female,KWBR,2,$313.06,4,$2365.59,9,$7269.1
Vincent Harris,male,336-72-3639,28/12/2009,5648206776,F.L.,87560-4406,v.harrisarris@ak.co,American Express,3442xxxxxxx5648,07/23,male,WYIH,5,$2819.4,7,$6621.64,14,$13736.37
Gussie Wright,female,834-09-3089,Thu Mar 29 2007 14:05:22 GMT-0400 (Eastern Daylight Time),7094131480,New Jersey,95536,g.Wright@luguag.net,Visa,4619xxxxxxxx4264,05/19,female,WUWT,5,$2946.0099999999998,10,$6851.749999999999,18,$16486.11
Edna Simon,female,341-17-2957,21/9/2009,(886) 449-9092,Massachusetts,71704,e.simonimon@lag.org,Diners Club United States & Canada,5411xxxxxxxx0279,08/27,female,WBPD,2,$1377.54,3,$2512.17,11,$7861.509999999999
Doctor Lucy Klein,female,666-30-0222,Wed Dec 19 2007 04:20:43 GMT-0500 (Eastern Standard Time),6132022193,W.I.,15373,l.kleinlein@nirhellab.net,Discover Card,6011xxxxxxxx3365,01/20,female,WHBT,4,$959.7199999999999,9,$6767.450000000001,16,$14463.160000000002
Hettie Payne,female,939-86-7681,5/16/2010,5583227285,M.T.,52717-0103,h.payneayne@kec.edu,Discover Card,6011xxxxxxxx6529,12/22,female,KOBE,3,$1080.81,5,$3366.0299999999997,7,$7193.7300000000005
Bess May,female,494-95-8340,13/2/2012,(942) 967-3311,WY,44974,b.mayay@labecke.net,Discover Card,6011xxxxxxxx4671,05/25,female,KQER,3,$1066.48,6,$3425.92,16,$11533.9
Miss Blanche Copeland,female,835-59-8193,26/11/2004,8638827735,MO,48541,b.Copeland@uniugzeb.org,Mastercard,5113xxxxxxxx5511,03/19,female,KMTR,3,$880.2,6,$4608.7300000000005,16,$12221.360000000002
Logan Yates,male,123-95-1775,Mon Aug 28 2017 05:02:07 GMT-0400 (Eastern Daylight Time),8108995856,Tennessee,00415,l.yatesates@ni.com,Diners Club United States & Canada,5437xxxxxxxx8179,02/24,male,WMBR,2,$934.48,4,$3263.31,9,$8440.63
Sarah Webb,female,105-25-9192,Fri Jan 07 2011 03:53:24 GMT-0500 (Eastern Standard Time),(315) 352-2182,Wyoming,09445-9962,s.webbebb@mowpe.gov,Diners Club United States & Canada,5408xxxxxxxx6765,05/17,female,KTRK,5,$2755.55,10,$5676.38,16,$14124.21
Katharine Douglas,female,401-71-6109,1/19/2012,9427346155,Oregon,22707,k.Douglas@feelaris.gov,Diners Club United States & Canada,5449xxxxxxxx6023,05/18,female,KBEW,3,$1034.21,4,$2880.0899999999997,14,$8838.47
Doctor Aaron Greene,male,407-82-8140,9/5/2016,5835992999,AL,63699-2055,a.Greene@soscesufa.com,Mastercard,5112xxxxxxxx7355,03/18,male,WFTQ,0,$0,2,$1352.28,8,$6782.849999999999
Doctor Alejandro Murphy,male,872-36-0680,3/8/2016,4214727947,V.A.,31442,a.Murphy@sakog.org,Mastercard,5177xxxxxxxx9353,07/23,male,WMWZ,2,$1148.63,4,$2408.9000000000005,11,$7580.080000000001
Warren Willis,male,413-34-7150,Thu Nov 18 2004 23:30:27 GMT-0500 (Eastern Standard Time),(325) 804-1211,W.V.,73703-0574,w.willisillis@kukjut.com,Mastercard,5114xxxxxxxx3916,02/20,male,WCMK,2,$146.01999999999998,5,$1138.52,15,$10535.82
Jackson Strickland,male,307-73-1564,1/2/2013,3104184127,District of Columbia,56523,j.stricklandtrickland@ribenim.edu,Discover Card,6011xxxxxxxx2658,07/24,male,WXVP,3,$1447.48,7,$5761.099999999999,14,$14967.189999999999
Rodney Schneider,male,145-97-7092,31/12/2011,(678) 712-6396,Tennessee,84537,r.schneiderchneider@tiuci.au,Visa,4299xxxxxxxx8810,10/25,male,WHBG,1,$296.23,4,$1904.98,10,$5665.330000000001
Miss Violet Reyes,female,891-71-2468,10/15/2009,5544652319,Hawaii,72189-9684,v.reyeseyes@hupliz.co,Visa,4424xxxxxxxx9182,04/20,female,KPNZ,0,$0,2,$921.33,8,$5638.47
Lillie Boyd,female,989-70-5692,Fri Jan 06 2006 10:34:47 GMT-0500 (Eastern Standard Time),(614) 391-8842,A.K.,31707,l.boydoyd@ramdopus.org,Discover Card,6011xxxxxxxx8419,08/22,female,KAPK,1,$180.04,2,$1844.51,5,$4892.84
Mr. Curtis Padilla,male,936-24-8200,11/22/2015,8247378377,Oregon,74541,c.padillaadilla@jotoseh.de,American Express,3478xxxxxxx5464,09/26,male,KNLE,5,$2470.09,7,$7172.3099999999995,12,$14118.679999999998
Ronald Olson,male,846-13-4218,2/5/2013,7238311118,Mississippi,95433,r.olsonlson@dozekav.gov,American Express,3438xxxxxxx2412,07/27,male,WCJH,3,$994.27,7,$3405.69,14,$9315.31
Mrs. Jean McGee,female,927-11-2113,10/30/2014,(354) 245-6750,F.L.,13910,j.mcgeecGee@so.org,American Express,3454xxxxxxx4062,09/19,female,WNDV,5,$2374.12,9,$6643.0199999999995,10,$10778.12
Miss Mathilda Salazar,female,012-94-9981,Sun Nov 02 2014 01:30:00 GMT-0400 (Eastern Daylight Time),(426) 870-9729,Wyoming,20195,m.salazaralazar@porsej.nz,Visa,4668xxxxxxxx9135,06/19,female,KLAZ,0,$0,2,$577.4100000000001,4,$2733.48
Miss Ellen Baker,female,343-70-7602,11/5/2010,(215) 774-2114,SD,66581,e.bakeraker@fovka.edu,Visa,4524xxxxxxxx0023,06/23,female,KIUF,1,$465.98,4,$2809.5099999999998,13,$9397.67
Wesley Perkins,male,387-49-1005,7/12/2009,4577022292,Nevada,31846,w.Perkins@etaozunu.net,Visa,4646xxxxxxxx1336,01/21,male,KALB,3,$1572.46,5,$4608.09,8,$8153.850000000001
Joshua Peters,male,933-71-5794,Tue Dec 08 2009 00:59:09 GMT-0500 (Eastern Standard Time),(345) 423-2464,Wisconsin,99230,j.peterseters@dalaczok.gov,Diners Club United States & Canada,5431xxxxxxxx3941,01/27,male,WVGV,4,$1301.63,8,$5824.340000000001,17,$13920.270000000002
Dr. Jeffrey Brady,male,988-93-4014,Fri Dec 11 2015 15:53:24 GMT-0500 (Eastern Standard Time),2017958572,G.A.,89601,j.Brady@moczisac.edu,American Express,3466xxxxxxx9624,10/26,male,WJZM,5,$2501.17,6,$5280.080000000001,9,$9676.760000000002
Dr. Julia Burke,female,704-37-1750,11/24/2008,2139638544,C.A.,91298,j.burkeurke@pikeruec.edu,American Express,3478xxxxxxx8573,03/20,female,KPTX,2,$971,4,$2301.9,6,$5212.79
Mrs. Carolyn Garcia,female,214-88-4932,Wed Dec 21 2016 00:10:39 GMT-0500 (Eastern Standard Time),(288) 486-2025,Maryland,21474-7406,c.garciaarcia@jognarwak.gov,Mastercard,5178xxxxxxxx8993,12/26,female,WZWB,4,$2320.8,9,$6844.999999999999,13,$15092.659999999996
Doctor Emma Gonzales,female,470-47-7058,31/12/2005,(200) 989-4889,Massachusetts,72153-0497,e.gonzalesonzales@polenaho.nz,American Express,3421xxxxxxx0015,07/25,female,WNIR,0,$0,4,$1830.15,12,$9097.24
Mr. Alejandro Long,male,872-50-2127,9/3/2013,(257) 780-6354,North Dakota,14016,a.Long@lob.nz,American Express,3477xxxxxxx8151,04/24,male,KOIC,4,$2317.01,8,$7033.3,12,$15538.320000000002
Eric Chambers,male,245-95-9999,6/21/2015,(843) 226-9853,H.I.,53470-7847,e.chambershambers@ki.com,American Express,3485xxxxxxx4360,02/22,male,KDIF,2,$1258.6599999999999,7,$5831.31,12,$14007.559999999998
Dominic Ball,male,525-46-2298,9/19/2012,(472) 353-7544,California,14923-2238,d.ballall@panhofa.com,American Express,3471xxxxxxx3669,08/18,male,KDKO,4,$2669.7599999999998,7,$5813.139999999999,11,$10530.729999999996
Sue Henderson,female,691-95-0675,Sun Nov 28 2004 20:23:26 GMT-0500 (Eastern Standard Time),3837239485,M.E.,39366,s.Henderson@irekwa.au,American Express,3484xxxxxxx9627,04/23,female,WPUZ,0,$0,5,$1606.3000000000002,10,$8008.02
Miss Bessie Newton,female,195-85-3526,Fri Apr 10 2009 02:24:04 GMT-0400 (Eastern Daylight Time),(332) 820-3028,Nevada,71783,b.newtonewton@ogu.com,Diners Club United States & Canada,5427xxxxxxxx4481,07/21,female,KOYK,5,$1567.7,6,$4864.24,12,$11535.32
Emma Fleming,female,600-18-4411,Fri Oct 18 2013 08:52:25 GMT-0400 (Eastern Daylight Time),3404208902,M.N.,02144,e.Fleming@huh.net,Visa,4776xxxxxxxx2551,08/19,female,KPEY,2,$950.34,6,$3347.7200000000003,7,$7201.320000000001
Doctor Don Valdez,male,576-18-4656,5/4/2016,(541) 732-6628,A.R.,27347-4867,d.valdezaldez@kec.gov,Discover Card,6011xxxxxxxx7164,07/25,male,KFGI,2,$1173.62,7,$4398.0199999999995,17,$13011.18
Evelyn Holt,female,421-87-9846,9/11/2007,7296704472,I.L.,19832-3132,e.holtolt@uptu.org,Visa,4164xxxxxxxx2271,08/21,female,WVSA,1,$487.44,4,$2429.54,7,$5970.219999999999
Mister Matthew Foster,male,283-64-6970,Sat Oct 02 2010 06:53:13 GMT-0400 (Eastern Daylight Time),3477459499,UT,54088-3354,m.fosteroster@tepsif.de,American Express,3455xxxxxxx4214,07/26,male,KAXH,2,$951.45,7,$4169.98,9,$9457.73
Mary Edwards,female,182-85-7992,16/10/2015,4087919688,I.N.,37443-4177,m.edwardsdwards@ib.com,Discover Card,6011xxxxxxxx3480,10/18,female,WNEL,0,$0,1,$45.27,6,$2435.0600000000004
Brett Young,male,345-06-9249,Sun Sep 25 2011 00:54:11 GMT-0400 (Eastern Daylight Time),(824) 578-1091,L.A.,56650,b.Young@kata.gov,Diners Club United States & Canada,5400xxxxxxxx4795,12/25,male,KOIN,0,$0,1,$251.32,10,$4978.5
Doctor Linnie Rice,female,130-86-7042,Wed Apr 02 2008 02:13:49 GMT-0400 (Eastern Daylight Time),6709256279,AL,50898-0297,l.Rice@cunuwa.au,Visa,4992xxxxxxxx2727,02/22,female,WMLJ,1,$783.32,2,$1544.6399999999999,4,$3094.5199999999995
Miss Cora Campbell,female,065-54-3309,Wed Apr 28 2010 10:50:06 GMT-0400 (Eastern Daylight Time),6083189955,H.I.,92876-6218,c.campbellampbell@juk.com,Discover Card,6011xxxxxxxx4860,04/24,female,KPBH,3,$1692.48,5,$4136.5,13,$10081.280000000002
Theodore Soto,male,748-02-3470,Thu May 19 2011 16:23:40 GMT-0400 (Eastern Daylight Time),(806) 911-2183,FL,51319-9761,t.sotooto@zup.edu,Discover Card,6011xxxxxxxx2617,06/21,male,WSEY,4,$2213.66,6,$4917.5599999999995,13,$12081.140000000001
Doctor Gussie Parks,female,915-99-3023,28/3/2010,8733947350,Delaware,23076,g.parksarks@jaejo.net,American Express,3429xxxxxxx9193,08/22,female,WGWX,2,$922.0899999999999,4,$2546.33,9,$6629.58
Gussie Gonzalez,female,554-84-1927,Tue Dec 16 2008 23:05:56 GMT-0500 (Eastern Standard Time),(473) 395-5269,New York,10432-5248,g.gonzalezonzalez@rut.de,Visa,4659xxxxxxxx2489,08/24,female,WPBC,3,$1905.37,5,$5105.11,8,$9557.54
Mister Bobby Joseph,male,754-33-1486,Thu Oct 20 2005 00:26:00 GMT-0400 (Eastern Daylight Time),6845281213,U.T.,10072,b.Joseph@burnuwic.net,Visa,4801xxxxxxxx4808,01/20,male,KQIF,0,$0,5,$3359.17,15,$10219.480000000001
Misses Ruth Henderson,female,632-24-6396,Sat Jan 31 2009 11:53:00 GMT-0500 (Eastern Standard Time),(410) 924-6639,UT,77300,r.hendersonenderson@gubmappa.edu,Diners Club United States & Canada,5468xxxxxxxx2015,05/19,female,KRDJ,2,$1042.1200000000001,3,$1907.4400000000003,9,$7278.680000000001
Dr. Jose Rhodes,male,524-11-3971,Mon Jan 04 2016 03:25:08 GMT-0500 (Eastern Standard Time),(488) 383-8435,Tennessee,60916,j.rhodeshodes@fudij.gov,Discover Card,6011xxxxxxxx5409,02/21,male,WNKR,0,$0,3,$1765.19,8,$5055.989999999999
Loretta Lowe,female,892-92-6868,3/28/2016,6388649852,New York,23747-1059,l.loweowe@ce.net,American Express,3483xxxxxxx0777,08/20,female,WMDP,0,$0,4,$2100.19,10,$6993.78
Edith Simmons,female,802-77-8386,Sun Sep 04 2005 23:44:55 GMT-0400 (Eastern Daylight Time),(260) 335-9356,Nebraska,17359-6742,e.Simmons@def.edu,Discover Card,6011xxxxxxxx6541,01/26,female,KMQQ,0,$0,5,$2878.55,6,$4701.54
Dr. Ethel Bridges,female,511-04-8148,10/7/2008,3032351629,N.C.,69899,e.bridgesridges@fifmef.au,Discover Card,6011xxxxxxxx2150,05/20,female,WYOY,3,$1234.95,6,$3635.4399999999996,16,$10372.159999999998
Doctor Max Santos,male,677-31-8624,Mon Feb 27 2012 16:53:52 GMT-0500 (Eastern Standard Time),7495178252,PA,34673,m.santosantos@polide.com,Diners Club United States & Canada,5422xxxxxxxx7530,08/27,male,WVNX,0,$0,4,$1746.7600000000002,5,$4794.280000000001
Manuel Harper,male,832-79-7039,Sun Feb 26 2012 00:00:19 GMT-0500 (Eastern Standard Time),(577) 864-4158,IA,36849-1405,m.harperarper@esa.edu,Mastercard,5177xxxxxxxx6087,04/20,male,KCDC,4,$1380.04,9,$5645.55,12,$12735.010000000002
